RUNNER, MODE, CREATE, ACQUIRE_SUCCESS, ACQUIRE_FAILURE, COMPLETE, QUERYJOB, QUERYLIST, CREATE_COUNT, LOCK_COUNT, COMPLETE_COUNT, DELAY_AVERAGE, DELAY_STDEV, DELAY_EXCEED, EARLY_LOCK, EARLY_EXEC, 
bob, HATEST,1740, 1740, 135, 1740, 4801, 353, 0, 0, 1740, 100, 6.08583353959882, 0, 1737, 0, 
bob, WORKERS01,1751, 1751, 0, 1751, 1828, 69, 0, 0, 1751, 184, 111.175022882752, 0, 1006, 0, 
bob, WORKERS02,1741, 1741, 174, 1741, 3080, 137, 0, 0, 1741, 129, 46.3700599547365, 0, 1243, 0, 
bob, WORKERS03,1761, 1761, 757, 1761, 5018, 207, 0, 0, 1761, 114, 33.5262625057685, 0, 1500, 0, 
bob, WORKERS04,1755, 1755, 538, 1755, 4945, 282, 0, 0, 1755, 101, 10.7881619686569, 0, 1726, 0, 
bob, WORKERS05,1758, 1758, 577, 1758, 5484, 352, 0, 0, 1758, 100, 4.69125449494413, 0, 1758, 0, 
bob, WORKERS06,1746, 1746, 782, 1746, 5319, 291, 0, 0, 1746, 102, 11.3965285941358, 0, 1716, 0, 
bob, WORKERS07,1760, 1760, 1413, 1760, 6587, 491, 0, 0, 1760, 100, 4.69336230060484, 0, 1760, 0, 
bob, WORKERS08,1744, 1744, 3078, 1744, 8870, 559, 0, 0, 1744, 81, 154.762346055235, 0, 1744, 26, 
bob, WORKERS09,1756, 1756, 936, 1756, 5362, 624, 0, 0, 1756, 100, 4.97637830782911, 0, 1756, 0, 
bob, WORKERS10,1748, 1748, 1047, 1748, 5331, 687, 0, 0, 1748, 101, 5.02506658105135, 0, 1748, 0, 
